Country_Name,Country_Code,Year,Total_Export_Value,Rank,Prev_Year_Export,YoY_Growth_Percent
Australia,AUS,2019,331978977,2,null,null
Australia,AUS,2020,314664696,5,331978977,-5.215475135342682
Australia,AUS,2021,260960791,10,314664696,-17.06702584772967
Australia,AUS,2022,329161883,4,260960791,26.1346126897661
Australia,AUS,2023,312606967,3,329161883,-5.029414660384599
Brazil,BRA,2019,296579860,4,null,null
Brazil,BRA,2020,274651355,9,296579860,-7.393794372955736
Brazil,BRA,2021,274401507,8,274651355,-0.09096914886875399
Brazil,BRA,2022,315621049,5,274401507,15.02161648113689
Brazil,BRA,2023,273870070,7,315621049,-13.228198541346334
Canada,CAN,2019,326378452,3,null,null
Canada,CAN,2020,337957127,2,326378452,3.5476223779626235
Canada,CAN,2021,295656183,6,337957127,-12.516659842477592
Canada,CAN,2022,297810535,8,295656183,0.7286680015076836
Canada,CAN,2023,252925681,10,297810535,-15.071613903786178
China,CHN,2019,294094372,5,null,null
China,CHN,2020,303167244,6,294094372,3.0850206137232714
China,CHN,2021,272767542,9,303167244,-10.02737023924656
China,CHN,2022,360417847,1,272767542,32.13370049725345
China,CHN,2023,295127776,5,360417847,-18.11510488269467
Germany,DEU,2019,287110901,6,null,null
Germany,DEU,2020,317130602,3,287110901,10.455785863734933
Germany,DEU,2021,292134696,7,317130602,-7.881896556927042
Germany,DEU,2022,248293710,10,292134696,-15.007113704837034
Germany,DEU,2023,258359793,9,248293710,4.054103102329898
France,FRA,2019,356316950,1,null,null
France,FRA,2020,301373740,7,356316950,-15.41975760625477
France,FRA,2021,300433177,5,301373740,-0.31209188962515444
France,FRA,2022,308258305,6,300433177,2.6046151354315974
France,FRA,2023,318772349,2,308258305,3.410790181305902
United Kingdom,GBR,2019,266327829,8,null,null
United Kingdom,GBR,2020,280576066,8,266327829,5.349886661675149
United Kingdom,GBR,2021,323183290,3,280576066,15.185623138646474
United Kingdom,GBR,2022,302144123,7,323183290,-6.509979832187487
United Kingdom,GBR,2023,342075055,1,302144123,13.215855931111392
India,IND,2019,242309739,10,null,null
India,IND,2020,338286712,1,242309739,39.609209846905905
India,IND,2021,332800559,2,338286712,-1.6217465260651445
India,IND,2022,340664690,2,332800559,2.3630161630828272
India,IND,2023,275792081,6,340664690,-19.042950709097557
Japan,JPN,2019,268060519,7,null,null
Japan,JPN,2020,253504350,10,268060519,-5.430180115408938
Japan,JPN,2021,339414317,1,253504350,33.88895180694138
Japan,JPN,2022,249800620,9,339414317,-26.402450489441197
Japan,JPN,2023,309137433,4,249800620,23.753669226281342
United States,USA,2019,263017897,9,null,null
United States,USA,2020,315456108,4,263017897,19.937126559870563
United States,USA,2021,311030818,4,315456108,-1.4028227343754587
United States,USA,2022,333142117,3,311030818,7.1090379860686355
United States,USA,2023,271810630,8,333142117,-18.410006982095272
