Country_Name,Country_Code,Year,Total_Export_Value,Rank
France,FRA,2019,356316950,1
Australia,AUS,2019,331978977,2
Canada,CAN,2019,326378452,3
Brazil,BRA,2019,296579860,4
China,CHN,2019,294094372,5
Germany,DEU,2019,287110901,6
Japan,JPN,2019,268060519,7
United Kingdom,GBR,2019,266327829,8
United States,USA,2019,263017897,9
India,IND,2019,242309739,10
India,IND,2020,338286712,1
Canada,CAN,2020,337957127,2
Germany,DEU,2020,317130602,3
United States,USA,2020,315456108,4
Australia,AUS,2020,314664696,5
China,CHN,2020,303167244,6
France,FRA,2020,301373740,7
United Kingdom,GBR,2020,280576066,8
Brazil,BRA,2020,274651355,9
Japan,JPN,2020,253504350,10
Japan,JPN,2021,339414317,1
India,IND,2021,332800559,2
United Kingdom,GBR,2021,323183290,3
United States,USA,2021,311030818,4
France,FRA,2021,300433177,5
Canada,CAN,2021,295656183,6
Germany,DEU,2021,292134696,7
Brazil,BRA,2021,274401507,8
China,CHN,2021,272767542,9
Australia,AUS,2021,260960791,10
China,CHN,2022,360417847,1
India,IND,2022,340664690,2
United States,USA,2022,333142117,3
Australia,AUS,2022,329161883,4
Brazil,BRA,2022,315621049,5
France,FRA,2022,308258305,6
United Kingdom,GBR,2022,302144123,7
Canada,CAN,2022,297810535,8
Japan,JPN,2022,249800620,9
Germany,DEU,2022,248293710,10
United Kingdom,GBR,2023,342075055,1
France,FRA,2023,318772349,2
Australia,AUS,2023,312606967,3
Japan,JPN,2023,309137433,4
China,CHN,2023,295127776,5
India,IND,2023,275792081,6
Brazil,BRA,2023,273870070,7
United States,USA,2023,271810630,8
Germany,DEU,2023,258359793,9
Canada,CAN,2023,252925681,10
