Country_Name,Country_Code,Year,Month,Product_Code,Product_Name,Product_Category,Region,Export_Value_USD,Export_Units
United States,USA,2021,4,P001,,Fuel,North America,1372427,1522.0
Germany,DEU,2023,10,P004,Industrial Machinery,Machinery,Europe,-277401,550.0
India,IND,2022,6,P003,Textile Materials,Textiles,Asia,1830953,72.0
France,FRA,2019,12,P005,Agricultural Goods,Agriculture,Europe,3353935,378.0
United Kingdom,GBR,2020,12,P010,Computer Hardware,Electronics,Europe,83470,609.0
Canada,CAN,2020,6,P006,Pharmaceutical Products,Healthcare,North America,2480226,479.0
Germany,DEU,2022,7,P003,Textile Materials,Textiles,Europe,1764486,273.0
United Kingdom,GBR,2021,2,P007,Automobiles,Automobile,Europe,1269852,1920.0
China,CHN,2023,9,P004,Industrial Machinery,Machinery,Asia,1704036,1579.0
United States,USA,2019,3,P001,Crude Oil,Fuel,North America,4763398,377.0
Australia,AUS,2019,11,P001,,Fuel,Oceania,4004433,1587.0
Brazil,BRA,2020,9,P009,Processed Foods,Food,South America,392638,1832.0
Australia,AUS,2023,6,P001,Crude Oil,Fuel,Oceania,3598721,1993.0
France,FRA,2019,12,P002,Electronic Components,Electronics,Europe,3576783,1904.0
China,CHN,2023,10,P005,Agricultural Goods,Agriculture,Asia,3049538,1934.0
Canada,CAN,2020,4,P002,Electronic Components,Electronics,North America,37088,1311.0
Germany,DEU,2019,6,P002,Electronic Components,Electronics,Europe,94394,491.0
France,FRA,2020,8,P008,Steel Materials,Metals,Europe,2914666,1945.0
United States,USA,2022,12,P001,Crude Oil,Fuel,North America,2346276,763.0
Germany,DEU,2022,9,P002,Electronic Components,Electronics,Europe,321317,114.0
Germany,DEU,2019,3,P007,Automobiles,Automobile,Europe,2679056,54.0
Australia,AUS,2020,4,P008,Steel Materials,Metals,Oceania,1988965,1081.0
AUSTRALIA,AUS,2020,1,P009,Processed Foods,Food,oceania,3759974,1494.0
France,FRA,2023,10,P004,Industrial Machinery,Machinery,Europe,-166623,1713.0
,GBR,2021,7,P004,Industrial Machinery,Machinery,Europe,597886,1425.0
France,FRA,2019,9,P002,Electronic Components,Electronics,Europe,1288067,1086.0
Canada,CAN,2021,10,P009,Processed Foods,Food,North America,4985950,77.0
Brazil,BRA,2019,12,P002,Electronic Components,Electronics,South America,4140776,368.0
Australia,AUS,2021,1,P008,Steel Materials,Metals,oceania,274255,1349.0
China,CHN,2023,12,P008,Steel Materials,Metals,Asia,3087697,809.0
United Kingdom,GBR,2023,3,P010,Computer Hardware,Electronics,Europe,3105312,596.0
Germany,DEU,2019,6,P004,Industrial Machinery,Machinery,Europe,4196643,1860.0
China,CHN,2019,3,P007,Automobiles,Automobile,Asia,2286573,1652.0
United States,USA,2019,8,P007,Automobiles,Automobile,North America,1365909,458.0
,JPN,2021,2,P006,Pharmaceutical Products,Healthcare,Asia,1841470,769.0
Brazil,BRA,2023,5,P003,Textile Materials,Textiles,South America,-179076,272.0
France,FRA,2021,1,P004,Industrial Machinery,Machinery,europe,3157915,1771.0
United States,USA,2023,5,P005,Agricultural Goods,Agriculture,North America,2925848,
China,CHN,2023,5,P010,Computer Hardware,Electronics,Asia,2906405,408.0
Canada,CAN,2020,9,P008,Steel Materials,Metals,North America,3469373,469.0
Germany,DEU,2020,4,P005,Agricultural Goods,Agriculture,Europe,736094,501.0
France,FRA,2022,8,P004,Industrial Machinery,Machinery,europe,2852531,1636.0
Japan,JPN,2020,12,P004,Industrial Machinery,Machinery,Asia,3844944,766.0
Australia,AUS,2023,6,P009,Processed Foods,Food,Oceania,3212574,1304.0
Brazil,BRA,2021,9,P004,Industrial Machinery,Machinery,South America,3565094,1073.0
Australia,AUS,2020,3,P002,Electronic Components,Electronics,oceania,1439961,630.0
Germany,DEU,2022,10,P007,Automobiles,Automobile,Europe,-336155,1804.0
Japan,JPN,2023,10,P009,Processed Foods,Food,Asia,1350012,203.0
China,CHN,2020,10,P008,Steel Materials,Metals,Asia,3980553,105.0
China,CHN,2021,7,P001,Crude Oil,Fuel,Asia,2246033,483.0
Brazil,BRA,2022,1,P002,Electronic Components,Electronics,south america,4024974,
Germany,DEU,2019,10,P004,Industrial Machinery,Machinery,Europe,778275,779.0
United Kingdom,GBR,2023,10,P003,textile materials,Textiles,Europe,460771,297.0
Japan,JPN,2020,2,P007,Automobiles,Automobile,Asia,4466876,1176.0
FRANCE,FRA,2021,9,P001,crude oil,Fuel,Europe,3093495,1404.0
Japan,JPN,2022,12,P006,Pharmaceutical Products,Healthcare,Asia,783382,1603.0
Canada,CAN,2022,12,P008,Steel Materials,Metals,North America,4470037,599.0
Canada,CAN,2023,11,P010,Computer Hardware,Electronics,North America,2679192,1709.0
Brazil,BRA,2021,9,P010,Computer Hardware,Electronics,South America,-414847,1868.0
Canada,CAN,2019,2,P008,Steel Materials,Metals,North America,1968226,503.0
Japan,JPN,2021,6,P009,Processed Foods,Food,Asia,3306291,604.0
China,CHN,2020,12,P004,Industrial Machinery,Machinery,Asia,3561752,616.0
Australia,AUS,2021,1,P003,Textile Materials,Textiles,Oceania,-42603,1183.0
France,FRA,2022,8,P005,Agricultural Goods,Agriculture,Europe,3194920,301.0
Canada,CAN,2023,11,P002,Electronic Components,Electronics,North America,-50295,1586.0
Japan,JPN,2023,10,P010,Computer Hardware,Electronics,Asia,1393200,1638.0
France,FRA,2023,12,P001,Crude Oil,Fuel,Europe,332431,530.0
CHINA,CHN,2022,8,P001,Crude Oil,Fuel,Asia,4481249,1012.0
Germany,DEU,2023,11,P005,Agricultural Goods,Agriculture,Europe,1159427,1969.0
China,CHN,2023,12,P005,Agricultural Goods,Agriculture,Asia,4274854,1936.0
Australia,AUS,2022,2,P008,steel materials,Metals,Oceania,4516695,131.0
France,FRA,2019,11,P010,Computer Hardware,Electronics,Europe,1760822,1730.0
France,FRA,2022,2,P007,Automobiles,Automobile,Europe,3442732,762.0
Brazil,BRA,2023,1,P007,Automobiles,Automobile,South America,3315356,230.0
India,IND,2022,7,P009,Processed Foods,Food,Asia,-45304,434.0
China,CHN,2022,12,P005,Agricultural Goods,Agriculture,Asia,3566057,562.0
Australia,AUS,2019,4,P007,Automobiles,Automobile,Oceania,451780,412.0
Japan,JPN,2022,4,P008,Steel Materials,Metals,Asia,3331802,1453.0
Brazil,BRA,2021,9,P007,Automobiles,Automobile,South America,1741206,1160.0
China,CHN,2023,8,P008,Steel Materials,Metals,Asia,2395109,730.0
Germany,DEU,2019,6,P007,Automobiles,Automobile,Europe,3467612,1494.0
India,IND,2023,10,P003,Textile Materials,Textiles,Asia,2284973,1358.0
Japan,JPN,2019,8,P003,Textile Materials,Textiles,Asia,1723172,743.0
United Kingdom,GBR,2023,1,P008,Steel Materials,Metals,Europe,4679625,1102.0
UNITED STATES,USA,2022,3,P002,Electronic Components,Electronics,North America,2012103,280.0
Australia,AUS,2023,11,P007,Automobiles,Automobile,Oceania,1010426,791.0
China,CHN,2022,11,P004,Industrial Machinery,Machinery,Asia,1630516,991.0
United States,USA,2021,10,P008,Steel Materials,Metals,North America,2009487,1358.0
United States,USA,2022,10,P004,Industrial Machinery,Machinery,North America,2511167,1227.0
France,FRA,2023,12,P001,Crude Oil,Fuel,Europe,3666850,1755.0
Brazil,BRA,2019,11,P003,Textile Materials,Textiles,south america,4921898,130.0
United Kingdom,GBR,2020,4,P007,Automobiles,Automobile,Europe,608636,1660.0
Canada,CAN,2021,2,P005,Agricultural Goods,Agriculture,North America,3428648,221.0
Australia,AUS,2019,7,P006,Pharmaceutical Products,Healthcare,Oceania,-383242,1397.0
United Kingdom,GBR,2020,8,P002,Electronic Components,Electronics,Europe,-290079,1318.0
Brazil,BRA,2019,3,P007,Automobiles,Automobile,South America,-119604,622.0
Canada,CAN,2023,7,P006,Pharmaceutical Products,Healthcare,North America,4426967,954.0
Brazil,BRA,2021,4,P001,Crude Oil,Fuel,South America,3219366,1552.0
United Kingdom,GBR,2022,5,P001,Crude Oil,Fuel,Europe,1092229,300.0
United Kingdom,GBR,2020,10,P004,Industrial Machinery,Machinery,Europe,1221389,1834.0
France,FRA,2021,3,P001,Crude Oil,Fuel,Europe,590453,1156.0
Germany,DEU,2021,1,P010,Computer Hardware,Electronics,Europe,961683,
United Kingdom,GBR,2023,2,P009,Processed Foods,Food,europe,3291696,1211.0
Canada,CAN,2019,8,P001,Crude Oil,Fuel,North America,2869009,1555.0
United States,USA,2021,10,P003,Textile Materials,Textiles,North America,4810632,1248.0
United States,USA,2020,7,P009,Processed Foods,Food,North America,3287917,1848.0
United Kingdom,GBR,2021,3,P005,Agricultural Goods,Agriculture,Europe,3478447,1228.0
Australia,AUS,2023,9,P001,Crude Oil,Fuel,Oceania,4211741,69.0
India,IND,2023,5,P005,Agricultural Goods,Agriculture,Asia,2449822,717.0
,USA,2023,4,P005,Agricultural Goods,Agriculture,North America,3099655,507.0
Brazil,BRA,2021,1,P006,Pharmaceutical Products,Healthcare,South America,1021740,1000.0
Australia,AUS,2022,7,P004,Industrial Machinery,Machinery,Oceania,3305456,1237.0
India,IND,2020,10,P003,Textile Materials,Textiles,Asia,-82562,1913.0
Australia,AUS,2021,7,P002,Electronic Components,Electronics,Oceania,430210,630.0
Germany,DEU,2020,3,P005,Agricultural Goods,Agriculture,Europe,1643452,642.0
Germany,DEU,2023,11,P009,processed foods,Food,europe,2470969,197.0
France,FRA,2023,7,P007,Automobiles,Automobile,europe,4869897,905.0
United Kingdom,GBR,2022,2,P002,Electronic Components,Electronics,Europe,1541086,942.0
China,CHN,2023,11,P002,Electronic Components,Electronics,Asia,456524,1387.0
Germany,DEU,2020,5,P002,Electronic Components,Electronics,Europe,1154835,1516.0
France,FRA,2022,11,P010,Computer Hardware,Electronics,Europe,4235300,1366.0
Brazil,BRA,2023,1,P005,Agricultural Goods,Agriculture,South America,2452305,1351.0
United States,USA,2023,9,P010,Computer Hardware,Electronics,North America,2725272,1235.0
China,CHN,2022,2,P001,Crude Oil,Fuel,Asia,2380964,1215.0
Australia,AUS,2020,6,P010,Computer Hardware,Electronics,Oceania,2627709,1929.0
United Kingdom,GBR,2021,2,P002,Electronic Components,Electronics,Europe,4180534,1439.0
United Kingdom,GBR,2023,11,P002,Electronic Components,Electronics,Europe,686387,1927.0
United States,USA,2023,7,P005,Agricultural Goods,Agriculture,North America,4898012,1671.0
Australia,AUS,2022,9,P002,Electronic Components,Electronics,Oceania,2535234,87.0
China,CHN,2019,5,P003,Textile Materials,Textiles,Asia,348430,266.0
China,CHN,2020,12,P010,Computer Hardware,Electronics,Asia,3171470,139.0
Canada,CAN,2023,4,P004,Industrial Machinery,Machinery,North America,2096004,1706.0
Brazil,BRA,2023,9,P007,Automobiles,Automobile,South America,3011981,
Australia,AUS,2023,2,P002,Electronic Components,Electronics,Oceania,1891281,757.0
Germany,DEU,2021,1,P008,,Metals,Europe,2980407,159.0
United States,USA,2020,3,P006,,Healthcare,North America,-178690,637.0
United States,USA,2021,4,P001,Crude Oil,Fuel,North America,754261,1173.0
France,FRA,2019,2,P008,,Metals,Europe,3692871,1398.0
United Kingdom,GBR,2023,7,P004,Industrial Machinery,Machinery,Europe,1071302,1883.0
Australia,AUS,2019,7,P009,processed foods,Food,Oceania,3443778,139.0
United States,USA,2021,3,P010,Computer Hardware,Electronics,North America,-128086,771.0
China,CHN,2019,12,P003,Textile Materials,Textiles,Asia,3339294,125.0
Japan,JPN,2022,5,P009,processed foods,Food,Asia,-192803,735.0
United Kingdom,GBR,2022,12,P007,Automobiles,Automobile,Europe,3188778,1882.0
Brazil,BRA,2022,2,P002,Electronic Components,Electronics,South America,3112194,1737.0
FRANCE,FRA,2020,12,P007,Automobiles,Automobile,Europe,3223773,769.0
India,IND,2022,6,P002,Electronic Components,Electronics,Asia,3804077,1062.0
United States,USA,2021,6,P004,Industrial Machinery,Machinery,North America,2711615,356.0
France,FRA,2023,6,P003,Textile Materials,Textiles,Europe,2838951,693.0
